DATE,JPNRGDPEXP
1994-01-01,446278.0
1994-04-01,443805.1
1994-07-01,448938.0
1994-10-01,447131.3
1995-01-01,452082.7
1995-04-01,456345.6
1995-07-01,461704.5
1995-10-01,462813.7
1996-01-01,466647.4
1996-04-01,472544.5
1996-07-01,473149.5
1996-10-01,478417.5
1997-01-01,479671.3
1997-04-01,476051.9
1997-07-01,477005.4
1997-10-01,477172.4
1998-01-01,471362.6
1998-04-01,469299.3
1998-07-01,470146.2
1998-10-01,473921.5
1999-01-01,467400.1
1999-04-01,469180.8
1999-07-01,471674.5
1999-10-01,471839.3
2000-01-01,479896.6
2000-04-01,482128.3
2000-07-01,482257.6
2000-10-01,486937.3
2001-01-01,490542.7
2001-04-01,486865.6
2001-07-01,481582.0
2001-10-01,479923.5
2002-01-01,480721.5
2002-04-01,484620.4
2002-07-01,486173.9
2002-10-01,487502.3
2003-01-01,487793.5
2003-04-01,491151.8
2003-07-01,492637.8
2003-10-01,497965.4
2004-01-01,501664.1
2004-04-01,501700.6
2004-07-01,504809.0
2004-10-01,503793.9
2005-01-01,506369.7
2005-04-01,510343.5
2005-07-01,515563.3
2005-10-01,516402.7
2006-01-01,517175.2
2006-04-01,518063.3
2006-07-01,517083.9
2006-10-01,523914.3
2007-01-01,527369.8
2007-04-01,527681.0
2007-07-01,524896.8
2007-10-01,526962.0
2008-01-01,528885.4
2008-04-01,525915.9
2008-07-01,519450.8
2008-10-01,506403.4
2009-01-01,482068.6
2009-04-01,491627.7
2009-07-01,491483.5
2009-10-01,497375.6
2010-01-01,502610.1
2010-04-01,508745.6
2010-07-01,518032.1
2010-10-01,513668.5
2011-01-01,508231.8
2011-04-01,503925.3
2011-07-01,516220.6
2011-10-01,515394.5
2012-01-01,522551.2
2012-04-01,517810.4
2012-07-01,515905.6
2012-10-01,515504.6
2013-01-01,522594.2
2013-04-01,527277.0
2013-07-01,532394.5
2013-10-01,531814.0
2014-01-01,536103.0
2014-04-01,526259.2
2014-07-01,526828.5
2014-10-01,529436.3
2015-01-01,537525.1
2015-04-01,538060.4
2015-07-01,538700.4
2015-10-01,538159.7
2016-01-01,541961.9
2016-04-01,540782.5
2016-07-01,541856.1
2016-10-01,543436.5
2017-01-01,547449.1
2017-04-01,548863.2
2017-07-01,553235.5
2017-10-01,555487.8
2018-01-01,555351.5
2018-04-01,555574.3
2018-07-01,551895.0
2018-10-01,554438.6
2019-01-01,557617.6
2019-04-01,558061.1
2019-07-01,559066.9
2019-10-01,548764.6
2020-01-01,545673.1
2020-04-01,500391.2
2020-07-01,526790.3
2020-10-01,541619.3
