date,value
1/2/2015,120.2
1/3/2015,120.2
1/4/2015,120.2
1/5/2015,119.64
1/6/2015,118.26
1/7/2015,119.52
1/8/2015,119.51
1/9/2015,118.66
1/10/2015,118.66
1/11/2015,118.66
1/12/2015,118.32
1/13/2015,118.16
1/14/2015,116.78
1/15/2015,116.95
1/16/2015,117.45
1/17/2015,117.45
1/18/2015,117.45
1/19/2015,117.45
1/20/2015,118.48
1/21/2015,117.86
1/22/2015,117.92
1/23/2015,117.8
1/24/2015,117.8
1/25/2015,117.8
1/26/2015,118.38
1/27/2015,117.62
1/28/2015,117.74
1/29/2015,118.31
1/30/2015,117.44
1/31/2015,117.44
2/1/2015,117.44
2/2/2015,117.33
2/3/2015,117.48
2/4/2015,117.58
2/5/2015,117.4
2/6/2015,119.16
2/7/2015,119.16
2/8/2015,119.16
2/9/2015,118.7
2/10/2015,119.32
2/11/2015,120.38
2/12/2015,118.72
2/13/2015,118.7
2/14/2015,118.7
2/15/2015,118.7
2/16/2015,118.7
2/17/2015,118.99
2/18/2015,119.19
2/19/2015,118.84
2/20/2015,118.68
2/21/2015,118.68
2/22/2015,118.68
2/23/2015,118.88
2/24/2015,119.13
2/25/2015,118.88
2/26/2015,119.36
2/27/2015,119.72
2/28/2015,119.72
3/1/2015,119.72
3/2/2015,120.06
3/3/2015,119.47
3/4/2015,119.76
3/5/2015,120.22
3/6/2015,120.93
3/7/2015,120.93
3/8/2015,120.93
3/9/2015,121.17
3/10/2015,121.2
3/11/2015,121.5
3/12/2015,121.28
3/13/2015,121.17
3/14/2015,121.17
3/15/2015,121.17
3/16/2015,121.3
3/17/2015,121.28
3/18/2015,120.92
3/19/2015,120.9
3/20/2015,120.28
3/21/2015,120.28
3/22/2015,120.28
3/23/2015,119.74
3/24/2015,119.9
3/25/2015,119.37
3/26/2015,119.01
3/27/2015,119.15
3/28/2015,119.15
3/29/2015,119.15
3/30/2015,120.11
3/31/2015,119.96
4/1/2015,119.62
4/2/2015,119.74
4/3/2015,118.96
4/4/2015,118.96
4/5/2015,118.96
4/6/2015,119.05
4/7/2015,120.36
4/8/2015,119.96
4/9/2015,120.32
