date,value
2/1/2015,120.2
5/1/2015,119.64
6/1/2015,118.26
7/1/2015,119.52
8/1/2015,119.51
9/1/2015,118.66
12/1/2015,118.32
13/01/2015,118.16
14/01/2015,116.78
15/01/2015,116.95
16/01/2015,117.45
20/01/2015,118.48
21/01/2015,117.86
22/01/2015,117.92
23/01/2015,117.8
26/01/2015,118.38
27/01/2015,117.62
28/01/2015,117.74
29/01/2015,118.31
30/01/2015,117.44
2/2/2015,117.33
3/2/2015,117.48
4/2/2015,117.58
5/2/2015,117.4
6/2/2015,119.16
9/2/2015,118.7
10/2/2015,119.32
11/2/2015,120.38
12/2/2015,118.72
13/02/2015,118.7
17/02/2015,118.99
18/02/2015,119.19
19/02/2015,118.84
20/02/2015,118.68
23/02/2015,118.88
24/02/2015,119.13
25/02/2015,118.88
26/02/2015,119.36
27/02/2015,119.72
2/3/2015,120.06
3/3/2015,119.47
4/3/2015,119.76
5/3/2015,120.22
6/3/2015,120.93
9/3/2015,121.17
10/3/2015,121.2
11/3/2015,121.5
12/3/2015,121.28
13/03/2015,121.17
16/03/2015,121.3
17/03/2015,121.28
18/03/2015,120.92
19/03/2015,120.9
20/03/2015,120.28
23/03/2015,119.74
24/03/2015,119.9
25/03/2015,119.37
26/03/2015,119.01
27/03/2015,119.15
30/03/2015,120.11
31/03/2015,119.96
1/4/2015,119.62
2/4/2015,119.74
3/4/2015,118.96
6/4/2015,119.05
7/4/2015,120.36
8/4/2015,119.96
9/4/2015,120.32
10/4/2015,120.29
13/04/2015,120.32
14/04/2015,119.26
15/04/2015,119.23
16/04/2015,119.18
17/04/2015,119.02
20/04/2015,119.27
21/04/2015,119.45
22/04/2015,119.9
23/04/2015,119.69
24/04/2015,118.98
27/04/2015,119.12
28/04/2015,118.8
29/04/2015,118.83
30/04/2015,119.86
1/5/2015,120.21
4/5/2015,120.25
5/5/2015,119.87
6/5/2015,119.42
7/5/2015,119.74
8/5/2015,119.78
11/5/2015,120.05
12/5/2015,119.8
13/05/2015,119.09
14/05/2015,119.2
15/05/2015,119.36
18/05/2015,119.82
19/05/2015,120.58
20/05/2015,121.28
21/05/2015,121.06
22/05/2015,121.45
26/05/2015,123.08
27/05/2015,123.76
28/05/2015,124.18
29/05/2015,123.98
1/6/2015,124.64
2/6/2015,124.19
3/6/2015,124.06
4/6/2015,124.56
5/6/2015,125.58
8/6/2015,125.08
9/6/2015,124.16
10/6/2015,122.72
11/6/2015,123.62
12/6/2015,123.23
15/06/2015,123.38
16/06/2015,123.39
17/06/2015,124.25
18/06/2015,122.87
19/06/2015,122.7
22/06/2015,123.28
23/06/2015,123.71
24/06/2015,124.24
25/06/2015,123.63
26/06/2015,123.92
29/06/2015,122.5
30/06/2015,122.1
1/7/2015,123.02
2/7/2015,123.14
6/7/2015,122.53
7/7/2015,122.16
8/7/2015,120.54
9/7/2015,121.22
10/7/2015,122.75
13/07/2015,123.35
14/07/2015,123.39
15/07/2015,123.89
16/07/2015,124.04
17/07/2015,124
20/07/2015,124.24
21/07/2015,123.93
22/07/2015,124.08
23/07/2015,123.88
24/07/2015,123.74
27/07/2015,123.24
28/07/2015,123.52
29/07/2015,123.86
30/07/2015,124.38
31/07/2015,123.94
3/8/2015,123.98
4/8/2015,124
5/8/2015,124.84
6/8/2015,124.6
7/8/2015,124.27
10/8/2015,124.55
11/8/2015,124.9
12/8/2015,123.87
13/08/2015,124.32
14/08/2015,124.27
17/08/2015,124.33
18/08/2015,124.39
19/08/2015,124.1
20/08/2015,123.54
21/08/2015,122.11
24/08/2015,118.56
25/08/2015,119.91
26/08/2015,119.07
27/08/2015,120.89
28/08/2015,121.32
31/08/2015,121.26
1/9/2015,119.94
2/9/2015,120
3/9/2015,120.2
4/9/2015,119.05
8/9/2015,119.72
9/9/2015,120.94
10/9/2015,120.71
11/9/2015,120.66
14/09/2015,119.92
15/09/2015,120.3
16/09/2015,120.62
17/09/2015,120.9
18/09/2015,119.85
21/09/2015,120.46
22/09/2015,120.04
23/09/2015,120.12
24/09/2015,119.54
25/09/2015,120.74
28/09/2015,119.82
29/09/2015,119.76
30/09/2015,119.81
1/10/2015,119.58
2/10/2015,119.42
5/10/2015,120.36
6/10/2015,120.18
7/10/2015,119.9
8/10/2015,119.94
9/10/2015,120.3
13/10/2015,119.8
14/10/2015,119.21
15/10/2015,118.26
16/10/2015,119.6
19/10/2015,119.5
20/10/2015,119.79
21/10/2015,119.91
22/10/2015,120.5
23/10/2015,121.2
26/10/2015,120.87
27/10/2015,120.29
28/10/2015,120.56
29/10/2015,121.14
30/10/2015,120.7
2/11/2015,120.7
3/11/2015,121.2
4/11/2015,121.52
5/11/2015,121.71
6/11/2015,123.2
9/11/2015,123.04
10/11/2015,123.22
12/11/2015,122.84
13/11/2015,122.93
16/11/2015,123.11
17/11/2015,123.48
18/11/2015,123.51
19/11/2015,122.71
20/11/2015,122.8
23/11/2015,123.02
24/11/2015,122.47
25/11/2015,122.7
27/11/2015,122.84
30/11/2015,123.22
1/12/2015,122.88
2/12/2015,123.52
3/12/2015,123.06
4/12/2015,123.1
7/12/2015,123.31
8/12/2015,123
9/12/2015,121.86
10/12/2015,121.44
11/12/2015,120.94
14/12/2015,120.57
15/12/2015,121.66
16/12/2015,121.88
17/12/2015,122.75
18/12/2015,121.2
21/12/2015,120.99
22/12/2015,120.94
23/12/2015,120.94
24/12/2015,120.32
28/12/2015,120.3
29/12/2015,120.44
30/12/2015,120.6
31/12/2015,120.27
4/1/2016,119.3
5/1/2016,118.95
6/1/2016,118.54
7/1/2016,118
8/1/2016,117.74
11/1/2016,117.48
12/1/2016,117.78
13/01/2016,118.06
14/01/2016,118.03
15/01/2016,116.78
19/01/2016,117.66
20/01/2016,116.38
21/01/2016,117.61
22/01/2016,118.37
25/01/2016,118.55
26/01/2016,118.5
27/01/2016,118.9
28/01/2016,118.61
29/01/2016,121.05
1/2/2016,121.06
2/2/2016,120.27
3/2/2016,117.92
4/2/2016,116.75
5/2/2016,116.99
8/2/2016,115.7
9/2/2016,114.8
10/2/2016,114.03
11/2/2016,111.72
12/2/2016,112.96
16/02/2016,113.9
17/02/2016,114.14
18/02/2016,113.62
19/02/2016,112.42
22/02/2016,113.12
23/02/2016,112.17
24/02/2016,111.36
25/02/2016,112.7
26/02/2016,113.78
29/02/2016,112.9
1/3/2016,113.94
2/3/2016,113.81
3/3/2016,113.53
4/3/2016,113.91
7/3/2016,113.6
8/3/2016,112.58
9/3/2016,113.06
10/3/2016,113.1
11/3/2016,113.66
14/03/2016,113.59
15/03/2016,112.88
16/03/2016,113.69
17/03/2016,111.3
18/03/2016,111.38
21/03/2016,111.62
22/03/2016,111.82
23/03/2016,112.63
24/03/2016,112.64
25/03/2016,113.05
28/03/2016,113.29
29/03/2016,113.33
30/03/2016,112.6
31/03/2016,112.42
1/4/2016,112.06
4/4/2016,111.18
5/4/2016,110.26
6/4/2016,109.63
7/4/2016,107.98
8/4/2016,108.36
11/4/2016,107.96
12/4/2016,108.54
13/04/2016,109.21
14/04/2016,109.2
15/04/2016,108.76
18/04/2016,108.85
19/04/2016,109.16
20/04/2016,109.51
21/04/2016,109.41
22/04/2016,111.5
25/04/2016,111.08
26/04/2016,111.23
27/04/2016,111.26
28/04/2016,108.55
29/04/2016,106.9
16/05/2016,108.89
17/05/2016,109.02
18/05/2016,109.65
19/05/2016,109.81
20/05/2016,110.52
23/05/2016,109.47
24/05/2016,110
25/05/2016,110.22
26/05/2016,109.74
27/05/2016,109.86
31/05/2016,110.75
1/6/2016,109.55
2/6/2016,108.75
3/6/2016,106.88
6/6/2016,107.33
7/6/2016,107.3
8/6/2016,106.99
9/6/2016,107.1
10/6/2016,106.97
13/06/2016,106.26
14/06/2016,106.11
15/06/2016,106.01
16/06/2016,104.26
17/06/2016,104.16
20/06/2016,103.94
21/06/2016,104.75
