date,value
02/01/2015,120.2
05/01/2015,119.64
06/01/2015,118.26
07/01/2015,119.52
08/01/2015,119.51
09/01/2015,118.66
12/01/2015,118.32
13/01/2015,118.16
14/01/2015,116.78
15/01/2015,116.95
16/01/2015,117.45
19/01/2015,.
20/01/2015,118.48
21/01/2015,117.86
22/01/2015,117.92
23/01/2015,117.8
26/01/2015,118.38
27/01/2015,117.62
28/01/2015,117.74
29/01/2015,118.31
30/01/2015,117.44
02/02/2015,117.33
03/02/2015,117.48
04/02/2015,117.58
05/02/2015,117.4
06/02/2015,119.16
09/02/2015,118.7
10/02/2015,119.32
11/02/2015,120.38
12/02/2015,118.72
13/02/2015,118.7
16/02/2015,.
17/02/2015,118.99
18/02/2015,119.19
19/02/2015,118.84
20/02/2015,118.68
23/02/2015,118.88
24/02/2015,119.13
25/02/2015,118.88
26/02/2015,119.36
27/02/2015,119.72
02/03/2015,120.06
03/03/2015,119.47
04/03/2015,119.76
05/03/2015,120.22
06/03/2015,120.93
09/03/2015,121.17
10/03/2015,121.2
11/03/2015,121.5
12/03/2015,121.28
13/03/2015,121.17
16/03/2015,121.3
17/03/2015,121.28
18/03/2015,120.92
19/03/2015,120.9
20/03/2015,120.28
23/03/2015,119.74
24/03/2015,119.9
25/03/2015,119.37
26/03/2015,119.01
27/03/2015,119.15
30/03/2015,120.11
31/03/2015,119.96
01/04/2015,119.62
02/04/2015,119.74
03/04/2015,118.96
06/04/2015,119.05
07/04/2015,120.36
08/04/2015,119.96
09/04/2015,120.32
10/04/2015,120.29
13/04/2015,120.32
14/04/2015,119.26
15/04/2015,119.23
16/04/2015,119.18
17/04/2015,119.02
20/04/2015,119.27
21/04/2015,119.45
22/04/2015,119.9
23/04/2015,119.69
24/04/2015,118.98
27/04/2015,119.12
28/04/2015,118.8
29/04/2015,118.83
30/04/2015,119.86
01/05/2015,120.21
04/05/2015,120.25
05/05/2015,119.87
06/05/2015,119.42
07/05/2015,119.74
08/05/2015,119.78
11/05/2015,120.05
12/05/2015,119.8
13/05/2015,119.09
14/05/2015,119.2
15/05/2015,119.36
18/05/2015,119.82
19/05/2015,120.58
20/05/2015,121.28
21/05/2015,121.06
22/05/2015,121.45
25/05/2015,.
26/05/2015,123.08
27/05/2015,123.76
28/05/2015,124.18
29/05/2015,123.98
01/06/2015,124.64
02/06/2015,124.19
03/06/2015,124.06
04/06/2015,124.56
05/06/2015,125.58
08/06/2015,125.08
09/06/2015,124.16
10/06/2015,122.72
11/06/2015,123.62
12/06/2015,123.23
15/06/2015,123.38
16/06/2015,123.39
17/06/2015,124.25
18/06/2015,122.87
19/06/2015,122.7
22/06/2015,123.28
23/06/2015,123.71
24/06/2015,124.24
25/06/2015,123.63
26/06/2015,123.92
29/06/2015,122.5
30/06/2015,122.1
01/07/2015,123.02
02/07/2015,123.14
03/07/2015,.
06/07/2015,122.53
07/07/2015,122.16
08/07/2015,120.54
09/07/2015,121.22
10/07/2015,122.75
13/07/2015,123.35
14/07/2015,123.39
15/07/2015,123.89
16/07/2015,124.04
17/07/2015,124
20/07/2015,124.24
21/07/2015,123.93
22/07/2015,124.08
23/07/2015,123.88
24/07/2015,123.74
27/07/2015,123.24
28/07/2015,123.52
29/07/2015,123.86
30/07/2015,124.38
31/07/2015,123.94
03/08/2015,123.98
04/08/2015,124
05/08/2015,124.84
06/08/2015,124.6
07/08/2015,124.27
10/08/2015,124.55
11/08/2015,124.9
12/08/2015,123.87
13/08/2015,124.32
14/08/2015,124.27
17/08/2015,124.33
18/08/2015,124.39
19/08/2015,124.1
20/08/2015,123.54
21/08/2015,122.11
24/08/2015,118.56
25/08/2015,119.91
26/08/2015,119.07
27/08/2015,120.89
28/08/2015,121.32
31/08/2015,121.26
01/09/2015,119.94
02/09/2015,120
03/09/2015,120.2
04/09/2015,119.05
07/09/2015,.
08/09/2015,119.72
09/09/2015,120.94
10/09/2015,120.71
11/09/2015,120.66
14/09/2015,119.92
15/09/2015,120.3
16/09/2015,120.62
17/09/2015,120.9
18/09/2015,119.85
21/09/2015,120.46
22/09/2015,120.04
23/09/2015,120.12
