, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Real GDP QoQ %
3/1/1960,94.765,,
6/1/1960,95.163,0.74,
9/1/1960,98.74,13.74,
12/1/1960,102.789,15.37,
3/1/1961,106.078,12.16,
6/1/1961,108.573,8.53,
9/1/1961,110.975,7.68,
12/1/1961,116.517,18.35,
3/1/1962,118.825,5.37,
6/1/1962,120.762,5.59,
9/1/1962,122.518,4.89,
12/1/1962,125.294,8.36,
3/1/1963,127.459,5.47,
6/1/1963,131.372,11.77,
9/1/1963,135.366,11.73,
12/1/1963,141.165,13.78,
3/1/1964,146.156,12.76,
6/1/1964,150.067,9.65,
9/1/1964,153.04,6.18,
12/1/1964,155.711,5,
3/1/1965,157.828,3.25,
6/1/1965,160.568,5,
9/1/1965,164.855,9.06,
12/1/1965,168.556,6.22,
3/1/1966,174.137,10.71,
6/1/1966,182.391,15.65,
9/1/1966,188.597,9.73,
12/1/1966,193.955,7.99,
3/1/1967,199.899,10.6,
6/1/1967,206.319,10.76,
9/1/1967,215.538,13.87,
12/1/1967,222.183,7.73,
3/1/1968,230.067,9.54,
6/1/1968,240.43,13.65,
9/1/1968,248.22,9.06,
12/1/1968,265.923,22.79,
3/1/1969,270.814,3.52,
6/1/1969,282.272,11.65,
9/1/1969,293.387,9.58,
12/1/1969,309.349,15.61,
3/1/1970,324.22,12.26,
6/1/1970,333.485,4.85,
9/1/1970,345.843,10.72,
12/1/1970,349.697,-1.29,
3/1/1971,358.567,3.64,
6/1/1971,369.373,6.45,
9/1/1971,377.786,4.87,
12/1/1971,384.429,3.64,
3/1/1972,402.898,13.03,
6/1/1972,412.876,7.53,
9/1/1972,425.477,8.54,
12/1/1972,441.484,10.06,
3/1/1973,461.11,13.38,
6/1/1973,472.157,3.66,
9/1/1973,482.516,1.17,
12/1/1973,497.99,4.94,
3/1/1974,489.756,-13.74,
6/1/1974,504.944,2.88,
9/1/1974,526.723,5.12,
12/1/1974,539.81,-2.17,
3/1/1975,553.693,0.52,
6/1/1975,575.018,8.88,
9/1/1975,592.258,4.55,
12/1/1975,608.623,4.21,
3/1/1976,620.045,3.39,
6/1/1976,629.824,2.36,
9/1/1976,646.923,5.62,
12/1/1976,659.408,0.48,
3/1/1977,684.799,8.75,
6/1/1977,699.51,2.82,
9/1/1977,713,2.73,
12/1/1977,738.556,5.43,
3/1/1978,763.693,7.56,
6/1/1978,786.03,3.89,
9/1/1978,809.67,5.17,
12/1/1978,838.103,5.77,
3/1/1979,865.854,5.98,
6/1/1979,903.073,7.31,
9/1/1979,929.605,3.05,
12/1/1979,950.676,1.74,
3/1/1980,974.066,1.53,
6/1/1980,991.921,-2.11,
9/1/1980,1037.293,8.96,
12/1/1980,1087.881,8.5,
3/1/1981,1124.918,2.45,
6/1/1981,1162.202,4.9,
9/1/1981,1181.797,-0.89,
12/1/1981,1210.653,2.92,
3/1/1982,1245.154,6.13,
6/1/1982,1269.302,2.75,
9/1/1982,1292.387,1.75,
12/1/1982,1323.576,5.56,
3/1/1983,1334.084,0.25,
6/1/1983,1354.274,3.01,
9/1/1983,1389.921,5.99,
12/1/1983,1413.243,3.33,
3/1/1984,1445.623,4.61,
6/1/1984,1480.81,6.06,
9/1/1984,1512.154,4.89,
12/1/1984,1524.956,0.69,
3/1/1985,1575.841,9.8,
6/1/1985,1616.907,8.1,
9/1/1985,1647.611,5.23,
12/1/1985,1679.325,5.31,
3/1/1986,1695.792,1.59,
6/1/1986,1699.004,-0.98,
9/1/1986,1716.891,2.34,
12/1/1986,1740.632,3.15,
3/1/1987,1751.004,-0.29,
6/1/1987,1799.981,8.38,
9/1/1987,1848.863,8,
12/1/1987,1909.835,10.3,
3/1/1988,1968.036,9.55,
6/1/1988,1982.76,-0.58,
9/1/1988,2050.75,8.92,
12/1/1988,2090.903,4.22,
3/1/1989,2171.603,10.79,
6/1/1989,2166.705,-5.22,
9/1/1989,2220.156,7,
