, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Real GDP QoQ %
3/1/1947,243.164,1698.748804,
6/1/1947,245.968,1710.605744,-1.07
9/1/1947,249.585,1727.84166,-0.83
12/1/1947,259.745,1789.838894,6.26
3/1/1948,265.742,1823.785765,6.02
6/1/1948,272.567,1863.209127,6.6
9/1/1948,279.196,1900.313774,2.29
12/1/1948,280.366,1899.408565,0.45
3/1/1949,275.034,1855.153992,-5.51
6/1/1949,271.351,1823.019611,-1.36
9/1/1949,272.889,1825.527645,4.13
12/1/1949,270.627,1802.17358,-3.36
3/1/1950,280.828,1862.427546,15.72
6/1/1950,290.383,1919.012153,12.2
9/1/1950,308.153,2027.682549,15.46
12/1/1950,319.945,2095.828584,7.66
3/1/1951,336,2191.909505,5.43
6/1/1951,344.09,2235.773414,6.93
9/1/1951,351.385,2272.718453,8.24
12/1/1951,356.178,2292.833968,0.88
3/1/1952,359.82,2306.893368,4.27
6/1/1952,361.03,2305.61924,0.86
9/1/1952,367.701,2338.068381,2.89
12/1/1952,380.812,2410.416113,13.14
3/1/1953,387.98,2446.681045,7.44
6/1/1953,391.749,2461.353355,3.09
9/1/1953,391.171,2446.51602,-2.25
12/1/1953,385.97,2402.71665,-6.06
3/1/1954,385.345,2388.581027,-1.91
6/1/1954,386.121,2383.713106,0.44
9/1/1954,390.996,2402.713681,4.52
12/1/1954,399.734,2444.497444,7.83
3/1/1955,413.073,2515.608633,11.42
6/1/1955,421.532,2556.846856,6.51
9/1/1955,430.221,2597.764655,5.4
12/1/1955,437.092,2626.454912,2.4
3/1/1956,439.746,2631.49202,-1.55
6/1/1956,446.01,2658.175793,3.31
9/1/1956,451.191,2676.531829,-0.36
12/1/1956,460.463,2717.942815,6.58
3/1/1957,469.779,2760.612792,2.56
6/1/1957,472.025,2762.496415,-0.88
9/1/1957,479.49,2793.612137,3.92
12/1/1957,474.864,2754.159973,-4.14
3/1/1958,467.54,2701.543938,-10.38
6/1/1958,471.978,2716.748499,2.63
9/1/1958,485.841,2784.460377,9.26
12/1/1958,499.555,2849.909863,9.36
3/1/1959,510.33,2898.861087,7.69
6/1/1959,522.653,2957.403226,9.03
9/1/1959,525.034,2958.254686,0.28
12/1/1959,528.6,2965.198465,1.14
3/1/1960,542.648,3026.160083,8.99
6/1/1960,541.08,2999.318186,-2.16
9/1/1960,545.604,3009.382188,1.96
12/1/1960,540.197,2967.805559,-5.13
3/1/1961,545.018,2984.208855,2.7
6/1/1961,555.545,3030.184851,6.79
9/1/1961,567.664,3083.404399,7.68
12/1/1961,580.612,3140.242517,7.84
3/1/1962,594.013,3201.311755,7.13
6/1/1962,600.366,3224.255248,3.61
9/1/1962,609.027,3258.118186,4.91
12/1/1962,612.28,3262.361466,1.32
3/1/1963,621.672,3301.515143,4.37
6/1/1963,629.752,3333.679184,4.49
9/1/1963,644.444,3398.410597,8.79
12/1/1963,653.938,3435.233923,2.62
3/1/1964,669.822,3507.766268,8.43
6/1/1964,678.674,3542.879516,4.35
9/1/1964,692.031,3599.528753,6.25
12/1/1964,697.319,3614.212856,1.24
3/1/1965,717.79,3710.141781,9.68
6/1/1965,730.191,3763.987546,5.05
9/1/1965,749.323,3849.650907,8.89
12/1/1965,771.857,3952.585788,9.22
3/1/1966,795.734,4064.782415,9.74
6/1/1966,804.981,4101.249764,1.37
9/1/1966,819.638,4163.198342,3.39
12/1/1966,833.302,4219.656575,3.28
3/1/1967,844.17,4264.195548,3.54
6/1/1967,848.983,4277.962258,0.25
9/1/1967,865.233,4347.642353,3.78
12/1/1967,881.439,4416.646624,3.02
3/1/1968,909.387,4547.048676,8.16
6/1/1968,934.344,4661.18572,6.68
9/1/1968,950.825,4730.543242,3.1
12/1/1968,968.03,4803.21329,1.57
3/1/1969,993.337,4918.60563,6.26
6/1/1969,1009.02,4984.808738,1.22
9/1/1969,1029.956,5074.02481,2.64
12/1/1969,1038.147,5099.354566,-1.95
3/1/1970,1051.2,5150.769774,-0.59
6/1/1970,1067.375,5213.803176,0.57
9/1/1970,1086.059,5287.042581,3.69
12/1/1970,1088.608,5281.172076,-4.29
3/1/1971,1135.156,5490.131213,10.86
6/1/1971,1156.271,5576.098803,2.16
9/1/1971,1177.675,5661.899038,3.29
12/1/1971,1190.297,5704.973112,0.94
3/1/1972,1230.609,5884.083541,7.36
6/1/1972,1266.369,6040.770475,9.08
9/1/1972,1290.566,6140.260062,3.78
12/1/1972,1328.904,6305.983287,6.7
3/1/1973,1377.49,6522.453502,9.9
6/1/1973,1413.887,6679.896817,4.35
9/1/1973,1433.838,6757.298849,-2.1
12/1/1973,1476.289,6940.448878,3.8
3/1/1974,1491.209,6996.251361,-3.44
6/1/1974,1530.056,7163.11645,0.95
9/1/1974,1560.026,7284.837051,-3.78
12/1/1974,1599.679,7450.763857,-1.55
3/1/1975,1616.116,7512.101704,-4.87
6/1/1975,1651.853,7659.808395,2.86
9/1/1975,1709.82,7905.256393,6.85
12/1/1975,1761.831,8124.72792,5.39
3/1/1976,1820.487,8377.219139,9
6/1/1976,1852.332,8505.675557,2.93
9/1/1976,1886.558,8640.538981,2.19
12/1/1976,1934.273,8835.645473,2.9
3/1/1977,1988.648,9062.913862,4.73
6/1/1977,2055.909,9346.910291,7.78
9/1/1977,2118.473,9604.407611,7.22
12/1/1977,2164.27,9784.178191,0.01
3/1/1978,2202.76,9934.917621,1.28
6/1/1978,2331.633,10489.57401,15.46
9/1/1978,2395.053,10743.37581,4.02
12/1/1978,2476.949,11078.43172,5.38
3/1/1979,2526.61,11271.86017,0.72
6/1/1979,2591.247,11530.13078,0.43
9/1/1979,2667.565,11833.85976,2.97
12/1/1979,2723.883,12046.34327,1
3/1/1980,2789.842,12303.38605,1.26
6/1/1980,2797.352,12302.05507,-8.24
9/1/1980,2856.483,12524.58894,-0.48
12/1/1980,2985.557,13055.09666,7.46
3/1/1981,3124.206,13633.59298,7.84
6/1/1981,3162.532,13769.65612,-2.96
9/1/1981,3260.609,14158.03231,4.79
12/1/1981,3280.818,14208.64172,-4.36
3/1/1982,3274.302,14150.27118,-6.21
6/1/1982,3331.972,14367.7697,1.82
9/1/1982,3366.322,14478.92885,-1.53
12/1/1982,3402.561,14598.62962,0.16
3/1/1983,3473.413,14872.50049,5.27
6/1/1983,3578.848,15292.39236,9.1
9/1/1983,3689.179,15725.19959,8
12/1/1983,3794.706,16137.17877,8.34
3/1/1984,3908.054,16587.31351,7.82
6/1/1984,4009.601,16983.93355,6.91
9/1/1984,4084.25,17258.09927,3.86
12/1/1984,4148.551,17487.31621,3.28
3/1/1985,4230.168,17798.26905,3.88
6/1/1985,4294.887,18032.40881,3.52
9/1/1985,4386.773,18370.91742,6.11
12/1/1985,4444.094,18564.4751,2.97
3/1/1986,4507.894,18793.7764,3.73
6/1/1986,4545.34,18909.92145,1.8
9/1/1986,4607.669,19121.97359,3.83
12/1/1986,4657.627,19283.12612,2.15
3/1/1987,4722.156,19512.31566,2.98
6/1/1987,4806.16,19817.58206,4.32
9/1/1987,4884.555,20091.12784,3.47
12/1/1987,5007.994,20548.0611,6.87
3/1/1988,5073.372,20774.79853,2.07
6/1/1988,5190.036,21208.40485,5.26
9/1/1988,5282.835,21531.48104,2.34
12/1/1988,5399.509,21952.25763,5.33
3/1/1989,5511.253,22361.65301,4.07
6/1/1989,5612.463,22720.95848,3.05
9/1/1989,5695.365,22993.18121,2.96
12/1/1989,5747.237,23139.44696,0.79
3/1/1990,5872.701,23591.20818,4.37
6/1/1990,5960.028,23867.70307,1.45
9/1/1990,6015.116,24003.33606,0.27
12/1/1990,6004.733,23877.38685,-3.64
3/1/1991,6035.178,23924.62479,-1.87
6/1/1991,6126.862,24210.81707,3.12
9/1/1991,6205.937,24436.19003,2.02
12/1/1991,6264.54,24582.73,1.39
3/1/1992,6363.102,24896.2263,4.79
6/1/1992,6470.763,25233.14706,4.34
9/1/1992,6566.641,25512.81344,3.95
12/1/1992,6680.803,25866.81354,4.17
3/1/1993,6729.459,25978.55535,0.67
6/1/1993,6808.939,26205.76463,2.33
9/1/1993,6882.098,26397.11715,1.91
12/1/1993,7013.738,26816.35805,5.44
3/1/1994,7115.652,27133.08675,3.88
6/1/1994,7246.931,27552.77545,5.42
9/1/1994,7331.075,27782.90446,2.34
12/1/1994,7455.288,28167.3883,4.58
3/1/1995,7522.289,28344.49561,1.42
6/1/1995,7580.997,28484.78256,1.19
9/1/1995,7683.125,28775.74906,3.4
12/1/1995,7772.586,29021.67874,2.72
3/1/1996,7868.468,29306.70014,3
6/1/1996,8032.84,29834.02104,6.67
9/1/1996,8131.408,30102.05532,3.59
12/1/1996,8259.771,30479.87203,4.15
3/1/1997,8362.655,30777.98306,2.58
6/1/1997,8518.825,31263.23458,6.65
9/1/1997,8662.823,31686.56979,5
12/1/1997,8765.907,31963.66401,3.44
3/1/1998,8866.48,32247.60866,4
6/1/1998,8969.699,32533.91875,3.7
9/1/1998,9121.097,32980.05887,5.01
12/1/1998,9293.991,33503.93295,6.46
3/1/1999,9417.264,33862.50418,3.79
6/1/1999,9524.152,34153.39377,3.08
9/1/1999,9681.856,34608.83429,5.24
12/1/1999,9899.378,35280.32873,6.8
3/1/2000,10002.857,35558.88647,1.45
6/1/2000,10247.679,36339.02951,7.32
9/1/2000,10319.825,36495.60242,0.53
12/1/2000,10439.025,36819.61992,2.49
3/1/2001,10472.879,36854.40354,-1.14
6/1/2001,10597.822,37206.4893,2.34
9/1/2001,10596.294,37103.9484,-1.66
12/1/2001,10660.294,37233.26732,1.09
3/1/2002,10788.952,37600.68308,3.5
6/1/2002,10893.207,37879.66576,2.42
9/1/2002,10992.051,38126.73125,1.78
12/1/2002,11071.463,38308.63266,0.62
3/1/2003,11183.507,38615.8821,2.22
6/1/2003,11312.875,38975.91067,3.44
9/1/2003,11567.326,39753.81306,6.79
12/1/2003,11769.275,40351.47719,4.59
3/1/2004,11920.169,40789.39012,2.13
6/1/2004,12108.987,41345.23944,3.05
9/1/2004,12303.34,41904.68081,3.78
12/1/2004,12522.425,42544.94894,4.01
3/1/2005,12761.337,43265.07593,4.43
6/1/2005,12910.022,43675.73109,1.85
9/1/2005,13142.873,44350.65465,3.57
12/1/2005,13332.316,44876.95819,2.53
3/1/2006,13603.933,45691.26004,5.32
6/1/2006,13749.806,46077.20302,0.93
9/1/2006,13867.469,46351.59102,0.62
12/1/2006,14037.228,46799.18385,3.41
3/1/2007,14208.569,47265.9468,0.94
6/1/2007,14382.363,47736.89609,2.29
9/1/2007,14535.003,48119.27022,2.17
12/1/2007,14681.501,48481.15933,2.43
3/1/2008,14651.039,48274.55897,-2.3
6/1/2008,14805.611,48677.04826,2.07
9/1/2008,14835.187,48655.59098,-2.17
12/1/2008,14559.543,47639.9894,-8.66
3/1/2009,14394.547,47004.59775,-4.49
6/1/2009,14352.85,46772.3697,-0.58
9/1/2009,14420.312,46884.19335,1.46
12/1/2009,14628.021,47449.66833,4.39
3/1/2010,14721.35,47657.17819,1.54
